company,address,industry,website,phone,contact_person,position,email,url
Công Ty TNHH Ấn Lĩnh,"Số 4 Hồng Chương, P. An Đông, TP. Huế","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị', 'Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy', 'Thiết Bị Chống Sét và Hệ Thống Chống Sét', 'Kiểm Soát Ra Vào - Hệ Thống Và Thiết Bị']",['www.alicohue.com'],['02343502882'],Ông Hoàng Viết Thắng,,alicohue@yahoo.com.vn,https://www.yellowpages.vn/lgs/1187695209/cong-ty-tnhh-an-linh.html
Thiết Bị Chống Sét Bình Phú - Công Ty Cổ Phần Kỹ Thuật Bình Phú,"1128/1 Trường Sa, P. 13, Q. Phú Nhuận,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy', 'Chống Sét Lan Truyền', 'Đầu Ghi Hình Camera', 'Thiết Bị Chống Sét và Hệ Thống Chống Sét', 'Máy Bơm, Máy Bơm Nước - Công Ty Sản Xuất và Phân Phối']",['www.binhphucorp.com'],"['0918232337', '02802839976994', '02839976995']",Công Ty  Bình Phú,,truong@binhphucorp.com,https://www.yellowpages.vn/lgs/1187680524/thiet-bi-chong-set-binh-phu-cong-ty-co-phan-ky-thuat-binh-phu.html
Thiết Bị An Ninh O Sung Caps - Công Ty TNHH Một Thành Viên Thương Mại - Dịch Vụ O Sung Caps,"454/2 Tổ 3, Khu 8, Phường Phú Hòa, Thành Phố Thủ Dầu Một,","['Máy Chấm Công', 'An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị', 'Bảo Vệ - Công Ty Bảo Vệ, Dịch Vụ Bảo Vệ (chuyên nghiệp, uy tín)', 'Kiểm Soát Ra Vào - Hệ Thống Và Thiết Bị']",['www.osungcapscamera.bizz.vn'],"['02743822573', '0933061118', '02743822574']",Mr. Phạm Thanh Hiệp,Giám Đốc,hiepp2012@gmail.com,https://www.yellowpages.vn/lgs/1187828073/thiet-bi-an-ninh-o-sung-caps-cong-ty-tnhh-mot-thanh-vien-thuong-mai-dich-vu-o-sung-caps.html
Công Nghệ Khánh Linh - Công Ty TNHH Giải Pháp Công Nghệ Khánh Linh,"Tầng Lửng Tại Tầng 1, Tòa Nhà An Phú Plaza, 117-119 Lý Chính Thắng, P. 07, Q. 3,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Máy Định Vị GPS, Thiết Bị Định Vị GPS', 'Camera Hành Trình']","['www.camerakhanhlinh.vn', 'www.kltech.vn']","['0975445432', '0394300700']",Mr. Nguyễn Như ý,,yinguyen700@gmail.com,https://www.yellowpages.vn/lgs/1187896680/cong-nghe-khanh-linh-cong-ty-tnhh-giai-phap-cong-nghe-khanh-linh.html
Camera Thiên Long - Công Ty TNHH Công Nghệ Kỹ Thuật Thiên Long,"Số 501, Đại Lộ Bình Dương, P. Hiệp Thành, TP. Thủ Dầu Một,","['Tổng Đài Điện Thoại - Cung Cấp Và Lắp Đặt', 'Dàn Âm Thanh (Hội Trường, karaoke, Sân Khấu,..) - Thiết Kế Và Lắp Đặt', 'Máy Chấm Công', 'An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Hikvision', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Máy Vi Tính, Laptop - Nhà Cung Cấp', 'Viễn Thông - Thiết Bị và Hệ Thống Viễn Thông', 'Kiểm Soát Ra Vào - Hệ Thống Và Thiết Bị', 'Bộ Đàm', 'Máy Vi Tính - Phần Cứng Máy Vi Tính']",['www.camerabinhduong.vn'],"['0901669916', '02743837333']",Mr. Võ Quang,,voquang@camerabinhduong.vn,https://www.yellowpages.vn/lgs/3750030/camera-thien-long-cong-ty-tnhh-cong-nghe-ky-thuat-thien-long.html
Công Ty TNHH  Dịch Vụ Bảo Vệ Đất Việt - Chi Nhánh Hà Nội,"Số 04, Ngõ 168 Nguyễn Xiển, P. Hạ Đình, Q. Thanh Xuân,","['Bảo Vệ Yếu Nhân (Ca Sĩ, Ngôi Sao, Người Nổi Tiếng,.)', 'An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị', 'Dịch Vụ Đào Tạo Bảo Vệ và Vệ Sỹ', 'Bảo Vệ Sự Kiện (Lễ Hội, Họp Báo, Triển Lãm,.)', 'Bảo Vệ và áp Tải Hàng Hóa, Tiền Bạc, Kim Loại Quý,.', 'Dịch Vụ Bảo Vệ Mục Tiêu Cố Định (Công ty, Trường Học, bệnh viện..)', 'Bảo Vệ - Công Ty Bảo Vệ, Dịch Vụ Bảo Vệ (chuyên nghiệp, uy tín)', 'Kiểm Soát Ra Vào - Hệ Thống Và Thiết Bị']",['www.datviet.vn'],"['0944557272', '02437170779']",Mr Hà,,datviet.hn@datviet.vn,https://www.yellowpages.vn/lgs/1315725/cong-ty-tnhh--dich-vu-bao-ve-dat-viet-chi-nhanh-ha-noi.html
Thiết Bị An Ninh - An Toàn NB Thịnh Vượng - Công Ty Cổ Phần NB Thịnh Vượng,"Số 107, Tổ 4, TT. Đông Anh, H. Đông Anh,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Chuông Cửa Có Hình', 'Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy']",['www.nbthinhvuong.bizz.vn'],"['02438399777', '0914568368', '0383680639']",Ms Nguyễn Thị Bích,Kinh Doanh,prosnb.jsc@gmail.com,https://www.yellowpages.vn/lgs/1187816478/thiet-bi-an-ninh-an-toan-nb-thinh-vuong-cong-ty-co-phan-nb-thinh-vuong.html
Phòng Cháy Chữa Cháy A.D.H - Công Ty TNHH A.D.H,"Số Nhà 1E Đường 318 Phạm Hùng, P. 5, Q. 8,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Hệ Thống PCCC - Thi Công Lắp Đặt Hệ Thống Báo Cháy, Chữa Cháy Tự Động', 'Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy']",['www.adh.bizz.vn'],"['0903808117', '02838505289']",Ông Lê Anh Dũng,Giám Đốc,dhcompany36@gmail.com,https://www.yellowpages.vn/lgs/1029672/phong-chay-chua-chay-a.d.h-cong-ty-tnhh-a.d.h.html
Thiết Bị An Ninh An Toàn Hồng Việt Cường - Công Ty TNHH MTV Hồng Việt Cường,"24 ngô chân lưu, p. Hòa minh, q. Liên chiểu, TP Đà Nẵng","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Camera Hikvision', 'Camera Quan Sát - Phân Phối Và Lắp Đặt Hệ Thống Camera', 'Camera IP', 'Camera Analog', 'Điện Nhẹ - Thiết Kế Và Thi Công Hệ Thống Điện Nhẹ', 'Nhà Thông Minh - Hệ Thống Và Thiết Bị']",['www.hongvietcuongdng.com'],['0905960505'],Mr. Nguyễn Công Việt,Phó Giám Đốc,hongvietcuong.dng@gmail.com,https://www.yellowpages.vn/lgs/1187876040/thiet-bi-an-ninh-an-toan-hong-viet-cuong-cong-ty-tnhh-mtv-hong-viet-cuong.html
Thiết Bị An Ninh Hồng Thủy - Công Ty TNHH Thương Mại Và Kỹ Thuật Hồng Thủy,"Tầng 2, Tòa Nhà HH1 Meco Complex, Ngõ 102 Trường Chinh, P. Phương Mai, Q. Đống Đa,","['An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn', 'Thiết Bị Điện Thông Minh', 'Báo Động, Chống Trộm - Hệ Thống Và Thiết Bị', 'Cảm Biến - Thiết Bị Cảm Biến']",[],"['02439428100', '0918945098']",Hotline,,kd@hongthuy.com.vn,https://www.yellowpages.vn/lgs/1187852127/thiet-bi-an-ninh-hong-thuy-cong-ty-tnhh-thuong-mai-va-ky-thuat-hong-thuy.html
