company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
RULO Tiến Phát - Công Ty TNHH Thương Mại Và Sản Xuất Cơ Khí Tiến Phát,"Thôn Trai Túc, X. Trưng Trắc, H. Văn Lâm,","Bánh Xe Cao Su, Bánh Xe Chịu Lực__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Con Lăn Công Nghiệp__Trục, Rulo Cao Su__Gioăng Cao Su, Phớt Cao Su",www.caosutienphat.com,'0903556882__0913441611',Mr. Bảy,X,male,Hotline,tienphatrubber@gmail.com,https://www.yellowpages.vn/lgs/1187782218/rulo-tien-phat-cong-ty-tnhh-thuong-mai-va-san-xuat-co-khi-tien-phat.html
Trục Cao Su Tân Bửu Hưng - Công Ty TNHH Tân Bửu Hưng,"3/388 Tân Thới Nhì, Xã Tân Thới Nhì, Huyện Hóc Môn,","Trục, Rulo Cao Su__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su - Sản Phẩm Cao Su",www.tanbuuhungroller.bizz.vn,'02862598096__0773157059__0903762945',Hotline,X,,,bhtran380@gmail.com,https://www.yellowpages.vn/lgs/1187856600/truc-cao-su-tan-buu-hung-cong-ty-tnhh-tan-buu-hung.html
RuLô Nam Hải - Công Ty TNHH RuLô Nam Hải,": KCN Phú Thị, Gia Lâm, Hà Nội   ","Trục, Rulo Cao Su__Cao Su - Sản Phẩm Cao Su__Bánh Xe Cao Su, Bánh Xe Chịu Lực",www.namhairoller.vn__www.namhairoller.com.vn,'02439715987',Hotline,X,,,namhairoller@gmail.com,https://www.yellowpages.vn/lgs/730731/rulo-nam-hai-cong-ty-tnhh-rulo-nam-hai.html
Sản Phẩm Cao Su Thành Long - Công Ty TNHH Cao Su Thành Long,"Thôn Ngọc Đà, Xã Tân Quang, Huyện Văn Lâm,","Trục, Rulo Cao Su__Cao Su - Sản Phẩm Cao Su__Bánh Xe Cao Su, Bánh Xe Chịu Lực",www.rulothanhlong.com,'0972297166__0901049508',Hotline,X,,,thanhlongrulo@gmail.com,https://www.yellowpages.vn/lgs/1187924274/san-pham-cao-su-thanh-long-cong-ty-tnhh-cao-su-thanh-long.html
Trục Cao Su TTC - Công Ty TNHH Trục Cao Su TTC," 231 Đường Số 5, KP. 3, Bình Trị Đông B, Q. Bình Tân,","Trục, Rulo Cao Su__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật",www.truccaosu.bizz.vn,'0983512459__0982501641',Ông Võ Quốc Thịnh,,male,Phòng kinh doanh,thinhcaosutruc@gmail.com,https://www.yellowpages.vn/lgs/1187828643/truc-cao-su-ttc-cong-ty-tnhh-truc-cao-su-ttc.html
Trục Cao Su Hiệp Hưng - Công Ty TNHH Thương Mại Dịch Vụ Cao Su Kỹ Thuật Hiệp Hưng,"256/19/37 Dương Quảng Hàm, P. 5, Q. Gò Vấp,","Trục, Rulo Cao Su__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật",www.caosuhiephung.com,'02866764316__0903616196',Ông Võ Văn hiệp,,male,,hiephungco2014@gmail.com,https://www.yellowpages.vn/lgs/1187785281/truc-cao-su-hiep-hung-cong-ty-tnhh-thuong-mai-dich-vu-cao-su-ky-thuat-hiep-hung.html
Trục Rulo Cao Su Minh Đạt - Công Ty TNHH TM & SX Cơ Khí Cao Su Kỹ Thuật Minh Đạt,"741/24 Hương Lộ 2, P. Bình Trị Đông A, Q. Bình Tân,","Trục, Rulo Cao Su__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật",www.caosuminhdat.com,'0908733589__02837671861__0903138519',Hotline,X,,,minhdatco2017@gmail.com,https://www.yellowpages.vn/lgs/1187861583/truc-rulo-cao-su-minh-dat-cong-ty-tnhh-tm---sx-co-khi-cao-su-ky-thuat-minh-dat.html
Cao Su Chính Kiệt - Công Ty TNHH Chính Kiệt,"F6/18 Đường Lô 2 Ấp 6, Xã Lê Minh Xuân, Huyện Bình Chánh,","Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su Tấm, Miếng, Thảm__Trục, Rulo Cao Su__Bản In Polymer, Bản In Cao Su__Cao Su - Sản Phẩm Cao Su",www.chinhkietcompany.bizz.vn,'0976565450__0963595650__0978181543',Mr. Tuấn,,male,,chinhkietcompany@gmail.com,https://www.yellowpages.vn/lgs/1187742096/cao-su-chinh-kiet-cong-ty-tnhh-chinh-kiet.html
Trục Cao Su Chí Phát - Công Ty TNHH Sản Xuất Thương Mại Chí Phát,"LB2 - 01, Đường Số 7, KCN Xuyên Á, Mỹ Hạnh Bắc, Đức Hòa,","Trục, Rulo Cao Su__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật",www.chiphatroller.com,'02723751708__0903789686',Mr. Vinh,,male,,chiphat1604@yahoo.com.vn,https://www.yellowpages.vn/lgs/1187832849/truc-cao-su-chi-phat-cong-ty-tnhh-san-xuat-thuong-mai-chi-phat.html
Cao Su A.67 - Công Ty TNHH A.67,"434/10A Đường Bình Quới, P. 28, Q. Bình Thạnh,","Gioăng Cao Su, Phớt Cao Su__Trục, Rulo Cao Su__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật",www.a67.bizz.vn__www.caosua67.vn,'02835562284__0913924222__0906924222',Ông Lê Văn Chương,X,male,Hotline,a67caosukythuat@gmail.com,https://www.yellowpages.vn/lgs/1187723196/cao-su-a.67-cong-ty-tnhh-a.67.html
Công Ty TNHH Cao Su Việt,"Lô B2-35, Đường Số 2, KCN Tân Đông Hiệp B, Thị Xã Dĩ An,","Bánh Xe Cao Su, Bánh Xe Chịu Lực__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__ống Cao Su (Bố Vải, Chịu Nhiệt, Mềm, Lõi Thép,..)__Trục, Rulo Cao Su__Cao Su Giảm Chấn, Đệm Cao Su Giảm Chấn__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su",www.caosuviet.vn__www.vietrubber.vn,'02746271144__0842746271144',Ms. Thai Thi Lan Dai,,female,Sales Export Manager,thaithilandai@caosuviet.vn,https://www.yellowpages.vn/lgs/1055004/cong-ty-tnhh-cao-su-viet.html
Trục Cao Su TTC - Công Ty TNHH Trục Cao Su TTC,"Tổ 13, KP. Suối Sâu, P. An Tịnh, TX. Trảng Bàng,","Trục, Rulo Cao Su",www.truccaosu.bizz.vn,'0983512459__0982501641',Ông Võ Quốc Thịnh,,male,Phòng kinh doanh,thinhcaosutruc@gmail.com,https://www.yellowpages.vn/lgs/1187922480/truc-cao-su-ttc-cong-ty-tnhh-truc-cao-su-ttc.html
Sản Phẩm Cao Su Vũ Quế - Công Ty TNHH Cao Su Vũ Quế,"Thôn Phượng Đồng, X. Phụng Châu, H. Chương Mỹ,","Bánh Xe Cao Su, Bánh Xe Chịu Lực__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__ống Cao Su (Bố Vải, Chịu Nhiệt, Mềm, Lõi Thép,..)__Trục, Rulo Cao Su__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su",www.caosuvuque.com__www.caosu.vn,'0942366689__02433868888__0944366689',Hotline,X,,,caosuvuque@gmail.com,https://www.yellowpages.vn/lgs/1187675751/san-pham-cao-su-vu-que-cong-ty-tnhh-cao-su-vu-que.html
Cao Su Sơn Thành - Công Ty TNHH Cao Su Sơn Thành,"Lô 2, Cụm CN Yên Nghĩa, Hà Đông,","Bánh Xe Cao Su, Bánh Xe Chịu Lực__Phụ Tùng Xe Bằng Cao Su__Trục, Rulo Cao Su__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su",www.caosusonthanh.com,'0366804444__0888568668__0983952601__0987268668',Hotline,X,,,caosusonthanh@gmail.com,https://www.yellowpages.vn/lgs/1187745522/cao-su-son-thanh-cong-ty-tnhh-cao-su-son-thanh.html
Cao Su Nhựa Việt Nam - Công Ty TNHH Cao Su Nhựa Việt Nam,"Số 45, Ngõ 445 Lạc Long Quân, Xuân La, Quận Tây Hồ,","Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su Tấm, Miếng, Thảm__Trục, Rulo Cao Su__Nhựa Kỹ Thuật, Nhựa PVC, PP, PE, ABS, POM, PA,..__Cao Su Giảm Chấn, Đệm Cao Su Giảm Chấn__Gioăng Cao Su, Phớt Cao Su",www.rpvietnam.com,'0949000189__02462544024',Mr. Minh,,male,,info@rpvietnam.com,https://www.yellowpages.vn/lgs/1187798673/cao-su-nhua-viet-nam-cong-ty-tnhh-cao-su-nhua-viet-nam.html
