company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Tủ Sắt Trung Hưng - Công Ty TNHH Sản Xuất Thương Mại Đào Trung Hưng,"259 Võ Văn Tần, P. 5, Q. 3,","Sắt Mỹ Thuật, Sắt Mỹ Nghệ (Cổng, Cửa, Bàn Ghế, Sắt Uốn Mỹ Thuật)__Võng Xếp, Ghế Xếp, Giường Xếp - Sản Xuất và Kinh Doanh__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.daotrunghung.vn__www.daotrunghung.com,'02837660199__02838395894__02838300420',Hotline,X,,,daotrunghung@daotrunghung.vn,https://www.yellowpages.vn/lgs/695124/tu-sat-trung-hung-cong-ty-tnhh-san-xuat-thuong-mai-dao-trung-hung.html
Tủ Sắt Trường Phát - Công Ty CP Cửa Thép Trường Phát,"Cụm Công Nghiệp Hoàng Xá, X. Hoàng Xá, H. Thanh Thủy,","Két Sắt, Két Bạc - Sản Xuất Và Kinh Doanh__Tủ Văn Phòng__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.truongphatjsc.com,'0973040496__0982444666__0963040495',Ms. Nguyễn Hải Yến,,female,Trưởng phòng kinh doanh,truongphatjsc17@gmail.com,https://www.yellowpages.vn/lgs/1187913624/tu-sat-truong-phat-cong-ty-cp-cua-thep-truong-phat.html
Tủ Văn Phòng Real Trading - Công Ty TNHH Real Trading Việt Nam,"Số 85/18A Phạm Viết Chánh, Phường 19, Quận Bình Thạnh,","Tủ Văn Phòng__Khóa - Nhập Khẩu Và Phân Phối Khóa__Đồ Nội Thất Văn Phòng__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.realtrading.vn,'0903688183',Ms. Đinh Thị Ngọc,,female,,ruby@realtrading.vn,https://www.yellowpages.vn/lgs/1187933385/tu-van-phong-real-trading-cong-ty-tnhh-real-trading-viet-nam.html
Tủ Sắt Delta - Công Ty TNHH T&T Plus Vina,"Thôn Lai Xá, Xã Kim Chung, Huyện Hoài Đức,","Tủ Văn Phòng__Kệ Sách, Kệ Hồ Sơ__Đồ Nội Thất Văn Phòng__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.tusat-delta.com,'0394808080__02433639905',Mr. Nguyên,,male,,tusat.delta@gmail.com,https://www.yellowpages.vn/lgs/1187807034/tu-sat-delta-cong-ty-tnhh-t-t-plus-vina.html
Nội Thất Xuân Hòa - Công Ty CP Xuân Hòa Việt Nam,"Đường Nguyễn Văn Linh, P. Xuân Hòa, TP. Phúc Yên,","Đồ Nội Thất Văn Phòng__Đồ Nội Thất - Thiết Kế Và Sản Xuất, Lắp Đặt Đồ Nội Thất__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)__Đồ Nội Thất Gia Đình__Nội Thất Trường Học - Sản Xuất Và Kinh Doanh",www.noithatxuanhoa.vn__www.xuanhoa.vn,'02113863244',Ông: Lê Duy Anh,,male,Tổng Giám Đốc,noithatxuanhoa@xuanhoa.vn,https://www.yellowpages.vn/lgs/741261/noi-that-xuan-hoa-cong-ty-cp-xuan-hoa-viet-nam.html
Công Ty Cổ Phần Thiết Bị Vật Tư Ngân Hàng Và An Toàn Kho Quỹ Việt Nam,"Thôn Lập Thành, X. Đông Xuân, H. Quốc Oai,","Két Sắt, Két Bạc - Sản Xuất Và Kinh Doanh__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.ketsatcaocap.vn,'02433705382__0982770404',Hotline,X,,,ketsatchongchay@gmail.com,https://www.yellowpages.vn/lgs/119316534/cong-ty-co-phan-thiet-bi-vat-tu-ngan-hang-va-an-toan-kho-quy-viet-nam.html
Công Ty TNHH Sản Xuất Và Thương Mại Nội Thất Bảo Lộc,"Xóm Trại, Đại Tự, Kim Chung, Hoài Đức,","Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Giá Kệ Siêu Thị, Kệ Để Hàng Siêu Thị__Kệ Sách, Kệ Hồ Sơ__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.tusatgiasach.bizz.vn,'0936061686__0982222613',Ông Đinh Văn Dũng,,male,,noithatbaoloc2008@gmail.com,https://www.yellowpages.vn/lgs/1187773740/cong-ty-tnhh-san-xuat-va-thuong-mai-noi-that-bao-loc.html
Nội Thất Sắt VHS - Công Ty TNHH Công Nghiệp VHS Việt Nam,"Số 9/97, Phố Triều Khúc, P. Thanh Xuân Nam, Q. Thanh Xuân,","Cơ Khí Dân Dụng (Tủ Tài Liệu, Giường Tầng, Bàn Ghế,..)__Kệ Sách, Kệ Hồ Sơ__Bàn Ghế Học Sinh, Trường Học__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)__Tủ Văn Phòng__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)",www.tusatsieure.com,'02439985316__0903941668__0967166638__0386281318',Hotline,X,,,tusatsieure@gmail.com,https://www.yellowpages.vn/lgs/1187745000/noi-that-sat-vhs-cong-ty-tnhh-cong-nghiep-vhs-viet-nam.html
Tủ Sắt Thành Đạt - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Lam Tùng," 46/7b, KP. 2, P. Quyết Thắng, TP. Biên Hoà,","Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.xuongtusat.com,'0912453534__0397567879',Hotline,X,,,lamtungdongnai@gmail.com,https://www.yellowpages.vn/lgs/1187899743/tu-sat-thanh-dat-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-lam-tung.html
Két Sắt Gia Định - Công ty TNHH Nội Thất Phú Gia An,"100 Phan Đăng Lưu, Phường 3, Quận Phú Nhuận,","Két Sắt, Két Bạc - Sản Xuất Và Kinh Doanh__Ngân Hàng - Trang Thiết Bị__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.ketsatgiadinh.vn,'02839953386__0948020788__0933481979',Ông Nguyễn Đình Lăng,,male,,ketgiadinh@gmail.com,https://www.yellowpages.vn/lgs/1187766300/ket-sat-gia-dinh-cong-ty-tnhh-noi-that-phu-gia-an.html
Két Sắt Phú Tài - Công Ty TNHH Dịch Vụ Và Thương Mại Phú Tài,"Cụm 12, Thôn Vĩnh Ninh, X. Vĩnh Quỳnh, H. Thanh Trì,","Két Sắt, Két Bạc - Sản Xuất Và Kinh Doanh__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.ketsatphutai.vn,'02436869555__0983978775',Ông Nguyễn Đình Tài,,male,Giám đốc,ketsatphutai@gmail.com,https://www.yellowpages.vn/lgs/1187766030/ket-sat-phu-tai-cong-ty-tnhh-dich-vu-va-thuong-mai-phu-tai.html
Nội Thất Vĩnh Xuân - Công Ty TNHH Vĩnh Xuân Thịnh,"219B Lê Hồng Phong, KP. Đông Thành, P. Tân Đông Hiệp, TX. Dĩ An,","Ghế Hội Trường, Ghế Rạp Chiếu Phim__Đồ Nội Thất Văn Phòng__Đồ Nội Thất - Thiết Kế Và Sản Xuất, Lắp Đặt Đồ Nội Thất__Thiết Kế Nội Thất - Công Ty Thiết Kế Và Thi Công Nội Thất__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.tucanhan.com__www.vixufu.com,'02743773346__0947399768__0888850818',Ms. Lê,,female,NV Kinh doanh,info@vixufu.com,https://www.yellowpages.vn/lgs/1187713236/noi-that-vinh-xuan-cong-ty-tnhh-vinh-xuan-thinh.html
Tủ Sắt Hào Đông - Công Ty TNHH MTV Thương Mại Trang Trí Nội Thất Hào Đông,"104A Tôn Thất Hiệp , P. 13 , Q. 11,","Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)__Đồ Nội Thất Văn Phòng",www.tusat.vn,'02837680068__0909000991',Hotline,X,,,haodong_cabinet@yahoo.com.vn,https://www.yellowpages.vn/lgs/1187851083/tu-sat-hao-dong-cong-ty-tnhh-mtv-thuong-mai-trang-tri-noi-that-hao-dong.html
Nội Thất Hòa Phát - Công Ty CP Nội Thất Hòa Phát,"39 Nguyễn Đình Chiểu, P. Lê Đại Hành, Q. Hai Bà Trưng,","Đồ Nội Thất Văn Phòng__Đồ Nội Thất - Thiết Kế Và Sản Xuất, Lắp Đặt Đồ Nội Thất__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)__Đồ Nội Thất Gia Đình__Két Sắt, Két Bạc - Sản Xuất Và Kinh Doanh__Nội Thất Trường Học - Sản Xuất Và Kinh Doanh",www.hoaphat.net.vn__www.hoaphat.com.vn,'02462810666__0904948479',Mr. Trần Ngọc Bắc,,male,Phó Phòng Marketing,ngocbac@hoaphat.com.vn,https://www.yellowpages.vn/lgs/119348553/noi-that-hoa-phat-cong-ty-cp-noi-that-hoa-phat.html
Công Ty TNHH MTV SX TM Cơ Khí Tân Long Phát,"2B39 ấp 2 , Tỉnh Lộ 10 , X.Phạm Văn Hai , H.Bình Chánh ,","Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.tanlongphat.com,'02437664718__0704800008__0905128215__02837664718',Hotline,X,,,tanlongphatck@gmail.com,https://www.yellowpages.vn/lgs/1187851203/cong-ty-tnhh-mtv-sx-tm-co-khi-tan-long-phat.html
Công Ty TNHH SX & XNK Goldsun Việt Nam,"Thôn Trung, X. Phù Lưu Tế, H. Mỹ Đức,","Két Sắt, Két Bạc - Sản Xuất Và Kinh Doanh__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",,'0966663096__0982477006',Ông Đinh Doãn Trọng,,male,Giám đốc,doantrong999@gmail.com,https://www.yellowpages.vn/lgs/1187709444/cong-ty-tnhh-sx---xnk-goldsun-viet-nam.html
Công Ty TNHH TM DV PT Tiến Thành,"384/5 Cộng Hòa, P.13, Q.Tân Bình,","Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.sieuthitusatvanphong.com,'02862996363__0909046529',Hotline,X,,,kd3.tienthanh@gmail.com,https://www.yellowpages.vn/lgs/1187851197/cong-ty-tnhh-tm-dv-pt-tien-thanh.html
Công Ty TNHH Tủ Sắt Hiếu Vinh,"KCN Minh Khai, Q. Bắc Từ Liêm,","Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.tusathieuvinh.com,'02432979515__0975317317',Hotline,X,,,tusathieuvinh@gmail.com,https://www.yellowpages.vn/lgs/1187807031/cong-ty-tnhh-tu-sat-hieu-vinh.html
Công Ty TNHH Misota Vietnam,"Số 9, ngõ 30 Tạ Quang Bửu, P. Bách Khoa, Q. Hai Bà Trưng,","Két Sắt, Két Bạc - Sản Xuất Và Kinh Doanh__Đồ Nội Thất - Thiết Kế Và Sản Xuất, Lắp Đặt Đồ Nội Thất__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.thegioitusat.com__www.noithatvanphongsme.com,'0931060333__02462970555__02471060333',Hotline,X,,,misotavietnam@gmail.com,https://www.yellowpages.vn/lgs/1187807040/cong-ty-tnhh-misota-vietnam.html
Công Ty TNHH PT SX Và TM Ánh Dương,"Số 3, Ngõ 38, Phố Phan Đình Phùng, TT. Phùng, H. Đan Phượng,","Cửa Chống Cháy (Cửa Thép, Cửa Kính, Cửa Gỗ Chống Cháy)__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)__Giá Kệ Siêu Thị, Kệ Để Hàng Siêu Thị__Tủ Bảng Điện__Thang Máng Cáp, Thang Cáp, Máng Cáp__Két Sắt, Két Bạc - Sản Xuất Và Kinh Doanh",www.tusatanhduong.com,'02466508623__0947349939',Mr. Thuyết,,male,Giám Đốc,tusatanhduong@gmail.com,https://www.yellowpages.vn/lgs/1187851068/cong-ty-tnhh-pt-sx-va-tm-anh-duong.html
Tủ Thép QUANA - Công Ty TNHH SX TM Quang Năng,"261 Võ Văn Tần, P.5, Q.3,","Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.clickngay.com,'0981009171',Hotline,X,,,sales@tusatquana.com,https://www.yellowpages.vn/lgs/1187851161/tu-thep-quana-cong-ty-tnhh-sx-tm-quang-nang.html
Tủ Sắt Hoàng Kim - Công Ty TNHH MTV Tủ Sắt Hoàng Kim,"Ấp Vĩnh Lộc B, H. Bình Chánh,","Đồ Nội Thất - Kinh Doanh Và Phân Phối__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.noithathoangkim.com.vn,'0886434567__0908285476__0909279986',Ms. Trang,,female,,tusathoangkim@gmail.com,https://www.yellowpages.vn/lgs/1187851158/tu-sat-hoang-kim-cong-ty-tnhh-mtv-tu-sat-hoang-kim.html
Cơ Sở Sản Xuất Tủ Sắt Hòa Hưng,"161/14/2 Đất Mới, P. Bình Trị Đông A, Quận Bình Tân,","Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.tusathoahung.com,'02854070057__0937762228',Hotline,X,,,tusathoahung@gmail.com,https://www.yellowpages.vn/lgs/1187851056/co-so-san-xuat-tu-sat-hoa-hung.html
Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Tân Thuận,"B13/22D, Ấp 2, X. Vĩnh Lộc B, H. Bình Chánh,","Đồ Nội Thất Văn Phòng__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.tusattanthuan.com.vn__www.tusatvanphong.vn,'0903399542__0854256737__0938332248',Lê Kim Yến,,,Nhân viên kinh doanh,tanthuantusat1@gmail.com,https://www.yellowpages.vn/lgs/1187840568/cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-tan-thuan.html
Công Ty TNHH MTV SX TM Trọng Linh Phát,"A6 Công Quỳnh, P. Nguyễn Cư  Trinh, Q. 1,","Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)",www.tusattronglinhphat.com,'0909610021__0933876993',Mr. Trung,,male,,tronglinhphat@gmail.com,https://www.yellowpages.vn/lgs/1187828841/cong-ty-tnhh-mtv-sx-tm-trong-linh-phat.html
