company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Cơ Khí S-Metal - Công Ty TNHH Cơ Khí Chính Xác S-Metal Việt Nam,"Thôn Đồng Tiến, Xã Đông Phú, H. Lục Nam,","Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Đai ốc, E Cu, Tán__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Bulong Inox, ốc Inox, Vít Inox",www.smetalvietnam.com,'0379169925',Ông Nhữ Văn Hào,,male,,Smetalvietnam@gmail.com,https://www.yellowpages.vn/lgs/1187853108/co-khi-s-metal-cong-ty-tnhh-co-khi-chinh-xac-s-metal-viet-nam.html
Cơ Khí Tài Nguyên - Công Ty TNHH Một Thành Viên Cơ Khí Tài Nguyên,"Số 200 Gò Dầu, P. Tân Quý, Q. Tân Phú,","Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Cơ Khí Dân Dụng (Tủ Tài Liệu, Giường Tầng, Bàn Ghế,..)",www.metalprocess.net__www.cokhitainguyen.com.vn,'0917993419',Ms. Tuyền,,female,Nhân viên kinh doanh,sales@cokhitainguyen.com.vn,https://www.yellowpages.vn/lgs/1187920410/co-khi-tai-nguyen-cong-ty-tnhh-mot-thanh-vien-co-khi-tai-nguyen.html
Cơ Khí Hoàng Vân - Cơ Sở Sản Xuất Cơ Khí Hoàng Vân,"Thôn Rùa Hạ, X. Thanh Thùy, H. Thanh Oai,","Cơ Khí - Dịch Vụ Gia Công Cắt, Chấn, Đột Dập Cơ Khí__Thang Máng Cáp, Thang Cáp, Máng Cáp__ốc, Vít, Bù Loong__Vòng Đệm, Long Đền__Giàn Giáo Xây Dựng Và Phụ Kiện__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Tủ Bảng Điện__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Kim Khí - Vật Tư Và Phụ Kiện",www.cokhihoangvan.bizz.vn,'0387462626',Hotline,X,,,kimkhihoangvan1217@gmail.com,https://www.yellowpages.vn/lgs/1187818800/co-khi-hoang-van-co-so-san-xuat-co-khi-hoang-van.html
Cơ Khí Thành Hà - Công Ty TNHH Cơ Khí Sản Xuất Và Thương Mại Thành Hà,"Số 2, Lô 2 KCN Lai Xá, X. Kim Chung, H. Hoài Đức,","Cơ Khí -  Gia Công và Chế Tạo__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu",www.giacongphay.com__www.cokhithanhha.net,'02462873071__0982336719',Ông Trần Văn Hà,,male,,ha.cokhithanhha@gmail.com,https://www.yellowpages.vn/lgs/1187802156/co-khi-thanh-ha-cong-ty-tnhh-co-khi-san-xuat-va-thuong-mai-thanh-ha.html
Cơ Khí Etech Vina - Công Ty TNHH Cơ Khí Chính Xác Etech Vina,"Thôn Đồng Tiến, X. Đông Phú, H. Lục Nam,","Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Bulong Inox, ốc Inox, Vít Inox__Đai ốc, E Cu, Tán",www.etechvina.com.vn,'0967371228__0888510499',Mr. Nhữ Văn Hồng,,male,,etechvina@gmail.com,https://www.yellowpages.vn/lgs/1187768994/co-khi-etech-vina-cong-ty-tnhh-co-khi-chinh-xac-etech-vina.html
Gia Công Đột Dập CPM - Công Ty TNHH Cơ Khí CPM,"Thôn Rùa Hạ, Xã Thanh Thùy, Huyện Thanh Oai,","Cơ Khí - Dịch Vụ Gia Công Cắt, Chấn, Đột Dập Cơ Khí__Khuôn Dập (Dập Nóng, Lạnh, Vuốt, Liên Hoàn)__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Cơ Khí Xây Dựng (Vì Kèo Thép, Nhà Khung Thép, Kết Cấu Nhà Xưởng,..)",www.dotdap.com,'0936138488',Hotline,X,,,cokhicpm@gmail.com,https://www.yellowpages.vn/lgs/1187791857/gia-cong-dot-dap-cpm-cong-ty-tnhh-co-khi-cpm.html
Cơ Khí Nguyễn Mẫn - Công Ty TNHH TM Cơ Khí Nguyễn Mẫn,"Ấp Đồng Sặc, Xã Bình Mỹ, Bắc Tân Uyên,","Sơn Tĩnh Điện__Cắt Laser, Cắt Khắc Laser__Cơ Khí Dân Dụng (Tủ Tài Liệu, Giường Tầng, Bàn Ghế,..)__Sơn Tĩnh Điện - Dịch Vụ Sơn Tĩnh Điện Kim Loại__Inox - Sản Xuất Và Gia Công Inox__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Kệ Sách, Kệ Hồ Sơ",www.nguyenman.com.vn,'02743626970__0983803731',Ms. Khoa,,female,Nhân viên Sales,zoe.nguyenman@gmail.com,https://www.yellowpages.vn/lgs/1187829204/co-khi-nguyen-man-cong-ty-tnhh-tm-co-khi-nguyen-man.html
Cơ Khí Nam An - Công Ty TNHH Cơ Khí Và Thương Mại Nam An,"Thôn Đa Tiện, X. Xuân Lâm, H. Thuận Thành,","Cơ Khí -  Gia Công và Chế Tạo__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Cầu Dao và Cầu Chì ( Công Nghiệp)",www.namancnc.com.vn,'0963029896__0986646725',Mr. Nhã,,male,Giám Đốc,annhacncnamduong@gmail.com,https://www.yellowpages.vn/lgs/1187814825/co-khi-nam-an-cong-ty-tnhh-co-khi-va-thuong-mai-nam-an.html
Cơ Khí Tấn Tài - Công Ty TNHH Sản Xuất - Thương Mại - Dịch Vụ Kỹ Thuật Cơ Khí Tấn Tài,"Đường DT 743 - KP. Bình Phước B, P. Bình Chuẩn, TX. Thuận An,","Inox - Sản Xuất Và Gia Công Inox__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Băng Tải Nhựa - Băng tải PVC, PU, PE,..",www.cokhitantai.com,'0974993878__02743710640',Ông Nguyễn Văn Tùng,,male,,cokhitantai@gmail.com,https://www.yellowpages.vn/lgs/1187714442/co-khi-tan-tai-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-ky-thuat-co-khi-tan-tai.html
Cơ Khí Minh Tân - Công Ty TNHH Thương Mại Và Cơ Khí Minh Tân,"Số 162X/2, KP. 1B, P. An Phú, TX. Thuận An,","Cơ Khí -  Gia Công và Chế Tạo__Thép - Công Ty Thép (Sản Xuất, Kinh Doanh Và Phân Phối)__ốc, Vít, Bù Loong__Con Lăn Băng Tải__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Cơ Khí - Chế Tạo Máy__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Thép Hình U, I, V, H__Khuôn Mẫu",www.cokhiminhtan.com,'0907852592__0828644768__0961564727',Hotline,X,,,cokhiminhtan27@gmail.com,https://www.yellowpages.vn/lgs/1187825286/co-khi-minh-tan-cong-ty-tnhh-thuong-mai-va-co-khi-minh-tan.html
Cơ Khí Chính Xác TDT Việt Nam - Công Ty TNHH Cơ Khí Chính Xác TDT Việt Nam,"Triều Thôn,  Phường Nam Sơn, Tp. Bắc Ninh","Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu",,'0968735826',Mr. Thân Văn Thuyên,,male,,cokhichinhxactdt@gmail.com,https://www.yellowpages.vn/lgs/1187858232/co-khi-chinh-xac-tdt-viet-nam-cong-ty-tnhh-co-khi-chinh-xac-tdt-viet-nam.html
Gia Công Cơ Khí Thi Thiên - Công Ty TNHH Sản Xuất Thương Mại Thi Thiên,"23 Bình Tiên, Phường 7, Quận 6,","Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Máy Móc Cơ Khí, Thiết Bị Cơ Khí__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu",www.cokhitdh.bizz.vn,'0933288892',Mr. Thi Đạt Hằng,,male,,thidathang@gmail.com,https://www.yellowpages.vn/lgs/1187761740/gia-cong-co-khi-thi-thien-cong-ty-tnhh-san-xuat-thuong-mai-thi-thien.html
Công Ty TNHH MTV Thông Tin M3 - Trực Thuộc Tập Đoàn Công Nghiệp Viễn Thông Quân Đội Viettel,"Mỹ Chung, P. Xuân Khanh, TX. Sơn Tây,","Cơ Khí -  Gia Công và Chế Tạo__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Viễn Thông - Thiết Bị và Hệ Thống Viễn Thông__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Cáp Quang và Phụ Kiện Cáp Quang",www.m3complex.vn,'0392639702__0396477982__02433839999',Ms Trang,,female,Bộ Phận Kinh Doanh,info@m3complex.vn,https://www.yellowpages.vn/lgs/1187813343/cong-ty-tnhh-mtv-thong-tin-m3-truc-thuoc-tap-doan-cong-nghiep-vien-thong-quan-doi-viettel.html
Cơ Khí Hưng Mỹ Phú - Công Ty TNHH Hưng Mỹ Phú,"Lô B1, Đường Ngang 1, KCN Phú An Thạnh, X. An Thạnh, H. Bến Lức,","Cơ Khí -  Gia Công và Chế Tạo__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Quạt Công Nghiệp__Xe Đẩy Hàng, Xe Kéo Hàng",www.hungmyphu.vn,'02723643877__0906695013',Bà Trương Kim Phụng,,female,Hành chính văn phòng,phung@hungmyphu.com,https://www.yellowpages.vn/lgs/1187829618/co-khi-hung-my-phu-cong-ty-tnhh-hung-my-phu.html
Cơ Khí Tuấn Mây - Công Ty TNHH Thương Mại & Sản Xuất Cơ Khí Tuấn Mây,"KCN Thanh Thùy, Thôn Rùa Hạ , X. Thanh Thùy, H. Thanh Oai,","Cơ Khí -  Gia Công và Chế Tạo__Kẹp Xà Gồ (Hình Vuông, Chữ C, Kẹp Dầm,..)__Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu",www.cokhituanmay.com__www.cokhituanmay.bizz.vn,'0988633746__0981888465__0984235222',Mr. Nguyễn Quang Tuấn,,male,Giám đốc,cokhigiaphat199@gmail.com,https://www.yellowpages.vn/lgs/1187771403/co-khi-tuan-may-cong-ty-tnhh-thuong-mai---san-xuat-co-khi-tuan-may.html
Cơ Khí Thành Duyên - Công Ty TNHH Thương Mại Và Dịch Vụ Thành Duyên,"Thôn Phú Hải, X. Đại Hiệp, H. Đại Lộc,","Sắt Mỹ Thuật, Sắt Mỹ Nghệ (Cổng, Cửa, Bàn Ghế, Sắt Uốn Mỹ Thuật)__Cơ Khí -  Gia Công và Chế Tạo__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Nhôm Kính - Thiết Kế Và Thi Công Nhôm Kính",www.thanhduyen.bizz.vn,'0708000105',Mr. Thành,,male,,,https://www.yellowpages.vn/lgs/1187892291/co-khi-thanh-duyen-cong-ty-tnhh-thuong-mai-va-dich-vu-thanh-duyen.html
Cơ Khí Power Best - Công Ty TNHH Power Best,"Số 25, Đường 26 II -A, KCN Việt Nam - Singapore II -A, TX. Tân Uyên,","Cắt Laser, Cắt Khắc Laser__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Gia Công Kim Loại Tấm (Hàn, Chấn, Đột Dập,..Tấm Kim Loại)",www.giacongcatdap.bizz.vn__www.powerbest.com.vn,'0908321898__02743803054__0903016080',Mr Neil - GĐKD,,male,Gia công dập cơ khí,neil@powerbest.com.vn,https://www.yellowpages.vn/lgs/1187790975/co-khi-power-best-cong-ty-tnhh-power-best.html
Cơ Khí Nam Minh - Công Ty TNHH TM DV Cơ Khí Nam Minh,"Ấp Tân Hội, X. Phước Hội, H. Đất Đỏ,","Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Cơ Khí Dân Dụng (Tủ Tài Liệu, Giường Tầng, Bàn Ghế,..)",www.namminhmechanical.com,'0969803480',Trương Thanh Mín,,,Phó giám đốc,NamMinh.MG@gmail.com,https://www.yellowpages.vn/lgs/1187909424/co-khi-nam-minh-cong-ty-tnhh-tm-dv-co-khi-nam-minh.html
Gia Công Cơ Khí Đại Phúc Vinh - Công Ty TNHH Công Nghiệp Đại Phúc Vinh,"1D Đường 160, P. Tăng Nhân Phú A, Q. 9,","Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu",www.congnghiepdaiphucvinh.vn,'0909561170__0908262809',Chị Hồng Phi,,,Giám Đốc,daiphucvinh.co.ltd@gmail.com,https://www.yellowpages.vn/lgs/1187791224/gia-cong-co-khi-dai-phuc-vinh-cong-ty-tnhh-cong-nghiep-dai-phuc-vinh.html
Cơ Khí Trường Hưng Đạt - Công Ty TNHH Sản Xuất Và Thương Mại Trường Hưng Đạt,"Số 258 Nguyễn Công Hoan, P. Hòa An, Q. Cẩm Lệ,",Cơ Khí -  Gia Công và Chế Tạo__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu,www.truonghungdat.bizz.vn,'0982115990__0914800768__0905665786',Mr. Đào Nguyên Trường,,male,Giám Đốc,truonghungdat.dn@gmail.com,https://www.yellowpages.vn/lgs/1187855832/co-khi-truong-hung-dat-cong-ty-tnhh-san-xuat-va-thuong-mai-truong-hung-dat.html
Băng Tải Thiên Ngọc Châu - Công Ty Cổ Phần Thiên Ngọc Châu,"Số 194 Đường Lê Trọng Tấn, P. La Khê, Q. Hà Đông,","Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Băng Tải - Các Công Ty Băng Tải__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Băng Tải Thực Phẩm__Băng Tải Nhựa - Băng tải PVC, PU, PE,..__Xe Đẩy Hàng, Xe Kéo Hàng",www.giacongcokhitheoyeucau.bizz.vn,'0966912307',Mr. Hà,,male,Kinh Doanh,,https://www.yellowpages.vn/lgs/1187846808/bang-tai-thien-ngoc-chau-cong-ty-co-phan-thien-ngoc-chau.html
Cơ Khí Anh Hoàng - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Anh Hoàng,"Số 286, Tổ 18, KP. 3, P. Long Bình Tân, Tp. Biên Hòa,","Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Bồn Chứa - Bồn Chứa Hóa Chất, Xăng Dầu, áp Lực, Công Nghiệp,.__Cơ Khí - Chế Tạo Máy__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Khuôn Mẫu__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)",www.cokhianhhoang.com,'0918301884__02518836577',Ông Nguyễn Quang Huy,,male,Giám Đốc,huy722@gmail.com,https://www.yellowpages.vn/lgs/1187760576/co-khi-anh-hoang-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-anh-hoang.html
