company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Doanh Nghiệp Tư Nhân ống Cao Su Hương Khánh,"Số 52, Thịnh Yên, Phố Huế, Q. Hai Bà Trưng,","ống Nhựa (PVC, PPR, HDPE, uPVC..) - Nhà Sản Xuất và Phân Phối__ống Cao Su (Bố Vải, Chịu Nhiệt, Mềm, Lõi Thép,..)",www.ongcaosu.com.vn,'0934563969',Hotline,X,,,ongcaosutl@gmail.com,https://www.yellowpages.vn/lgs/1187842200/doanh-nghiep-tu-nhan-ong-cao-su-huong-khanh.html
Cao Su 75 - Công Ty TNHH Một Thành Viên Cao Su 75,"Tổ Dân Phố Z175, X. Xuân Sơn, TX. Sơn Tây,","Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__ống Cao Su (Bố Vải, Chịu Nhiệt, Mềm, Lõi Thép,..)__Dây Băng Tải, Dây Băng Tải Cao Su__Phụ Tùng Xe Bằng Cao Su__Cao Su Giảm Chấn, Đệm Cao Su Giảm Chấn__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su__Băng Tải Cao Su",www.caosu75.com.vn,'0969822822__02433261315',HOTLINE,X,,,75rubber@gmail.com,https://www.yellowpages.vn/lgs/1187794134/cao-su-75-cong-ty-tnhh-mot-thanh-vien-cao-su-75.html
Cao Su Hòa Phát - Công Ty TNHH Xây Dựng Sản Xuất Thương Mại Dịch Vụ Hòa Phát,"471/9/1 Phạm Văn Bạch, P. 15, Q. Tân Bình,","Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su Tấm, Miếng, Thảm__ống Cao Su (Bố Vải, Chịu Nhiệt, Mềm, Lõi Thép,..)__Trục, Rulo Cao Su__Cao Su Giảm Chấn, Đệm Cao Su Giảm Chấn__Gioăng Cao Su, Phớt Cao Su",www.congtycaosu.com,'0944083968__0933043968',Mr. Phát,,male,TP Kỹ thuật,caosuvina.vn@gmail.com,https://www.yellowpages.vn/lgs/1187925105/cao-su-hoa-phat-cong-ty-tnhh-xay-dung-san-xuat-thuong-mai-dich-vu-hoa-phat.html
Công Ty TNHH Kỹ Thuật Etech Việt Nam,"Số 145, Ngõ 42, P. Thịnh Liệt, Q. Hoàng Mai,","ống Gió Mềm__Thiết Bị Điện - Nhập Khẩu và Phân Phối Thiết Bị Điện__ống Cao Su (Bố Vải, Chịu Nhiệt, Mềm, Lõi Thép,..)__ống Nhựa (PVC, PPR, HDPE, uPVC..) - Nhà Sản Xuất và Phân Phối__Silicone - Gioăng, Nút, ống, Tấm Silicone__ống Ruột Gà",www.etechcompany.com.vn,'02463271929__0946163689',Hotline,X,,,vuthanhphuoc@gmail.com,https://www.yellowpages.vn/lgs/1187842113/cong-ty-tnhh-ky-thuat-etech-viet-nam.html
ống Nhựa Thịnh Phát - Công Ty TNHH Thương Mại Và Xây Dựng NH Thịnh Phát,"38 Lãng Yên, Phường Bạch Đằng, Quận Hai Bà Trưng,","ống Nhựa PVC__ống Nhựa (PVC, PPR, HDPE, uPVC..) - Nhà Sản Xuất và Phân Phối__ống Cao Su (Bố Vải, Chịu Nhiệt, Mềm, Lõi Thép,..)__ống Nối, Khớp nối Kim Loại",www.sieuthimaycongtrinh.net__www.ongcongtrinh.com,'0968340886__0835288866',Mr. Phùng Văn Thái,,male,,ongcongtrinh@gmail.com,https://www.yellowpages.vn/lgs/1187931531/ong-nhua-thinh-phat-cong-ty-tnhh-thuong-mai-va-xay-dung-nh-thinh-phat.html
Ống Nhật Tân Tiến Phát - Công Ty TNHH SX - TM Nhật Tân Tiến Phát,"Số 45/3A, Đường 45, P. Phước Long B, Q. 9,","ống Nhựa (PVC, PPR, HDPE, uPVC..) - Nhà Sản Xuất và Phân Phối__ống Gió Mềm__ống Cao Su (Bố Vải, Chịu Nhiệt, Mềm, Lõi Thép,..)__ống Nhựa PVC",www.sanphamong.com,'02862842375__0919979515__0938530778',Mr. Lê Đình Dương,,male,,nhattantienphat@gmail.com,https://www.yellowpages.vn/lgs/1187790531/ong-nhat-tan-tien-phat-cong-ty-tnhh-sx-tm-nhat-tan-tien-phat.html
Công Ty TNHH Thương Mại Và Xuất Nhập Khẩu Nhật Quang,"Xóm Mới, Thôn Văn Điển, X. Tứ Hiệp, H. Thanh Trì,","ống Cao Su (Bố Vải, Chịu Nhiệt, Mềm, Lõi Thép,..)",www.onghutbuncat.vn,'0988522586__02466625786',Mr. Châu  Anh Quyết,,male,,caqnhatquang@gmail.com,https://www.yellowpages.vn/lgs/1187841942/cong-ty-tnhh-thuong-mai-va-xuat-nhap-khau-nhat-quang.html
Công Ty TNHH Cao Su Việt,"Lô B2-35, Đường Số 2, KCN Tân Đông Hiệp B, Thị Xã Dĩ An,","Bánh Xe Cao Su, Bánh Xe Chịu Lực__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__ống Cao Su (Bố Vải, Chịu Nhiệt, Mềm, Lõi Thép,..)__Trục, Rulo Cao Su__Cao Su Giảm Chấn, Đệm Cao Su Giảm Chấn__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su",www.caosuviet.vn__www.vietrubber.vn,'02746271144__0842746271144',Ms. Thai Thi Lan Dai,,female,Sales Export Manager,thaithilandai@caosuviet.vn,https://www.yellowpages.vn/lgs/1055004/cong-ty-tnhh-cao-su-viet.html
Cao Su Quang Huấn - Doanh Nghiệp Tư Nhân SX Và TM Cao Su Quang Huấn,"483 Đường Tam Trinh, P. Hoàng Văn Thụ, Q. Hoàng Mai,","Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__Cao Su Tấm, Miếng, Thảm__ống Cao Su (Bố Vải, Chịu Nhiệt, Mềm, Lõi Thép,..)__Trục, Rulo Cao Su__Cao Su Giảm Chấn, Đệm Cao Su Giảm Chấn__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su",www.caosuquanghuan.bizz.vn__www.sites.google.com/site/caosuquanghuan,'02435728589__0913564312',Lê Quang Huấn,,,Chủ Doanh Nghiệp,quanghuan1963@gmail.com,https://www.yellowpages.vn/lgs/1187745840/cao-su-quang-huan-doanh-nghiep-tu-nhan-sx-va-tm-cao-su-quang-huan.html
Công Ty CP ứng Dụng Và Triển Khai Công Nghệ ADT,"Số 11/162 Khương Đình, Q. Thanh Xuân,","Bao Bì Nhựa__Cao Su Kỹ Thuật, Sản Phẩm Cao Su Kỹ Thuật__ống Cao Su (Bố Vải, Chịu Nhiệt, Mềm, Lõi Thép,..)__Trục, Rulo Cao Su__Gioăng Cao Su, Phớt Cao Su__Cao Su - Sản Phẩm Cao Su",www.adtvietnam.vn,'0912727678__02436471323',Mr. Thế,,male,Phòng Kinh Doanh,adt@adtvietnam.vn,https://www.yellowpages.vn/lgs/1187751357/cong-ty-cp-ung-dung-va-trien-khai-cong-nghe-adt.html
