company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Sao Bắc - Công Ty Cổ Phần Đầu Tư Thương Mại Sao Bắc,"A28 BT2 Mỹ Đình, X. Mỹ Đình, H. Từ Liêm,",Chất Mài Mòn,,'02437325779',,,,,,https://www.yellowpages.vn/lgs/1406676/sao-bac-cong-ty-co-phan-dau-tu-thuong-mai-sao-bac.html
Thượng Phát - Công Ty TNHH Thương Mại Sản Xuất Thượng Phát,"809B Tạ Quang Bửu, P. 5, Q. 8,",Chất Mài Mòn,,'02838507172',,,,,,https://www.yellowpages.vn/lgs/698562/thuong-phat-cong-ty-tnhh-thuong-mai-san-xuat-thuong-phat.html
Merit Việt Nam - Công Ty TNHH Sản Xuất Giấy Nhám Merit Việt Nam,"Lô E6B KCN Việt Hương 2, H. Bến Cát,","Chất Mài Mòn__Giấy Nhám, Vải Nhám (Nhám Vòng, Xếp, Thùng, Chổi, Cuộn,.)",,'02743746318',,,,,,https://www.yellowpages.vn/lgs/708354/merit-viet-nam-cong-ty-tnhh-san-xuat-giay-nham-merit-viet-nam.html
Trường Sơn - Công Ty TNHH Thương Mại Quốc Tế Trường Sơn,"6 Giang Văn Minh, Q. Ba Đình,",Chất Mài Mòn,,'02437236835',,,,,,https://www.yellowpages.vn/lgs/738513/truong-son-cong-ty-tnhh-thuong-mai-quoc-te-truong-son.html
Công Ty Riken Việt Nam Liên Doanh,"Khu Công Nghiệp Vĩnh Lộc, Lô C/IV,Đường 4, P. Bình Hưng Hòa, Q. Bình Tân,",Chất Mài Mòn,,'02854281655',,,,,,https://www.yellowpages.vn/lgs/1150275/cong-ty-riken-viet-nam-lien-doanh.html
Nguyễn Công - Công Ty TNHH Nguyễn Công,"156B/4 Khu Phố 10, P. Tân Biên, Tp. Biên Hòa,",Chất Mài Mòn,,'02513980071',,,,,,https://www.yellowpages.vn/lgs/1177944/nguyen-cong-cong-ty-tnhh-nguyen-cong.html
Ninh Khánh - Công Ty TNHH Ninh Khánh,"99 ấp Phước Hiệp, P. Trường Thạnh, Q. 9,",Chất Mài Mòn,,'02837301276',,,,,,https://www.yellowpages.vn/lgs/1026840/ninh-khanh-cong-ty-tnhh-ninh-khanh.html
Công Ty TNHH Sức ép,"243/74 Chu Văn An, P. 12, Q. Bình Thạnh,","Lơ, Nỉ, Sáp, Chổi Đánh Bóng, ..Vật Liệu Đánh Bóng__Chất Mài Mòn",,'0908114479__02835116050',Ông Nguyễn Đoàn Anh Vĩ,,male,Giám Đốc,suepco@hcm.vnn.vn,https://www.yellowpages.vn/lgs/967941/cong-ty-tnhh-suc-ep.html
Cửa Hàng Phượng Hoàng,"394 Cộng Hòa, P. 14, Q. Tân Bình,",Chất Mài Mòn,,'02838100865',,,,,,https://www.yellowpages.vn/lgs/1149624/cua-hang-phuong-hoang.html
Thời Gian Vàng - Công Ty TNHH Sản Xuất Thương Mại Thời Gian Vàng,"319B Nơ Trang Long, P. 13, Q. Bình Thạnh,",Chất Mài Mòn,www.thoigianvang.vn,'02822437064',,,,,,https://www.yellowpages.vn/lgs/1101312/thoi-gian-vang-cong-ty-tnhh-san-xuat-thuong-mai-thoi-gian-vang.html
